epoch,dice_coefficient,loss,val_dice_coefficient,val_loss
0,0.1996648422650342,0.7921073627703398,0.36847677934341705,0.650348655306376
1,0.4128488988990814,0.6136317334128815,0.4744745481472749,0.568861553302178
2,0.5143752162914398,0.5068986083118661,0.5874267865258914,0.4281594099906775
3,0.5874239249715527,0.40685205812593106,0.5915956313793476,0.391416725057822
4,0.6141722335398776,0.3777835756829641,0.6301478047210437,0.3699446412233206
5,0.6526260709805974,0.34794882894719686,0.6902142098316779,0.32012826204299927
6,0.6855667171981729,0.32628742120798354,0.6894895577659974,0.3264807772177916
7,0.6982914578278088,0.3121453373177538,0.6993348630001912,0.3030270521457379
8,0.7054855986995604,0.3063834986640412,0.6899156043162713,0.3101060757270226
9,0.7098000691209024,0.2986698283732516,0.7028441606805875,0.2965166912629054
10,0.7205839784255306,0.2938609377851764,0.712256480868046,0.2999878262098019
11,0.7270939643811254,0.2848259274241994,0.7316320188916646,0.2770290592542061
12,0.740981185754526,0.2687267527996915,0.73149752502258,0.2784692518986188
13,0.7430619612625502,0.2674455026399742,0.7508146338737928,0.2626449672075418
14,0.7552737545909234,0.25519160448926165,0.7394544264444938,0.2702177098164192
15,0.7549915156028804,0.2573541093219831,0.7496017263485835,0.26103642124396104
16,0.7437006297331412,0.26584934956819106,0.7360811107433759,0.27395469638017506
17,0.7471092083645099,0.26613505835672024,0.7303551555826113,0.2788897959085611
18,0.7581010091941334,0.2560589148581607,0.744370941645824,0.2598419441626622
19,0.7653770419289765,0.24796117046504346,0.7443192429267443,0.2595046953513072
20,0.7626935599498379,0.24808006610685182,0.7400405756556071,0.26320749750504124
21,0.7645772863360285,0.24645284715208035,0.7416672520339489,0.27494072570250583
22,0.7725533165977997,0.23913943333533202,0.7583614232448431,0.2527410468229881
23,0.7703787443562619,0.24059637831252756,0.7661932345766288,0.24706651728886825
24,0.772375597971157,0.23652621148859412,0.7736723296917402,0.2386952260365853
25,0.7808212998133262,0.23223035370261924,0.7711967665415543,0.2364888099523691
26,0.7778654254755928,0.23258554472506626,0.7504746495531156,0.25723180404076207
27,0.7786795915041155,0.2319370638398291,0.7579111674657235,0.25814233605678266
28,0.7801421056094678,0.23069958142863894,0.7759519546077802,0.2332353534606787
29,0.7821046895193822,0.22874412577129105,0.7711909373219197,0.23194565108189216
30,0.7792728034037988,0.2317164439020805,0.7676942715278039,0.23780215703524077
31,0.7851862136310744,0.22681266503426636,0.7741152311746891,0.23490868050318497
32,0.7900538827898433,0.22041555284296424,0.7789947803203876,0.22845783256567442
33,0.7816665545829291,0.2302602555566621,0.7656048106459471,0.2382231618349369
34,0.7884983802304685,0.22223592527861735,0.7717967165204195,0.24383930632701287
35,0.7885331129564822,0.22081247840112853,0.7740217945896662,0.22950078203127935
36,0.7844954182222051,0.22710244285250172,0.7739992061486611,0.23560189169186813
37,0.7831649602327532,0.22937781920710815,0.7728248651211078,0.2321023574242225
38,0.7919236839685625,0.2200906771479301,0.7772169474225777,0.23047289481529823
39,0.7882447986348161,0.22101646517086954,0.7740882331362138,0.23128733153526598
40,0.7913718003671146,0.22135331532330188,0.7766375220738925,0.2337651138122265
41,0.795062582469681,0.21553813195923,0.7742538933570569,0.23577303152817947
42,0.7971828471399048,0.21117021707655156,0.7723115310072899,0.231109707401349
43,0.8056552449187029,0.20304325165100467,0.7872968218647517,0.22146141872956202
44,0.8050476380632919,0.20176484023483054,0.7888737303706316,0.21617803894556487
45,0.8067304680069673,0.201033957664249,0.7885283827781677,0.2164262326864096
46,0.8050544163555775,0.202851793141041,0.7886290813867862,0.2170962943480565
47,0.8071144914742813,0.20075993167543874,0.7829602779104159,0.2239583031489299
48,0.8077551194475693,0.20216962521516005,0.7817248444144542,0.22773237870289728
49,0.8091784625956155,0.1995398037641951,0.7871029308209052,0.21802586660935327
50,0.8073706014931781,0.20568418878953434,0.7776120115931218,0.2308834963119947
51,0.8084089821114123,0.20115836065949746,0.7913187713577197,0.21258922952872056
52,0.8126263465117483,0.19610788579126007,0.7909305542707443,0.21620003420573014
53,0.8098954151845673,0.19909260544962096,0.7706827423893489,0.22791372468838325
54,0.8089158801199163,0.19992084613124145,0.787406845161548,0.21697036692729363
55,0.8136115584847996,0.19486472068481075,0.7840986572779142,0.21892311825202063
56,0.8148594682367103,0.19334113511066991,0.7913349477144388,0.21503761525337511
57,0.8133414820270631,0.19597558141912072,0.783451918226022,0.21716182507001436
58,0.8115236973299563,0.19517625564510382,0.794491891677563,0.2132324885863524
59,0.815134801332233,0.19561245140520114,0.7879452395897645,0.21948179717247301
60,0.8135917131761903,0.19543518400886684,0.7926494181156158,0.2137478647323755
61,0.8142086921386349,0.19315048097406776,0.7953543800574082,0.2100910762181649
62,0.8143959624096028,0.1947294543090376,0.7970646533828515,0.20813450102622694
63,0.8132771913287709,0.19387848573980979,0.7805279493331909,0.228767712528889
64,0.814828728877225,0.1942739923602169,0.7875838921620295,0.22043511615349695
65,0.8169781620641356,0.1935032154749898,0.7959941321840653,0.21380746135344872
66,0.8191779540869796,0.18945890202105625,0.7904791539678206,0.21239434411892524
67,0.8181567294794378,0.1908010519245296,0.7970679734761899,0.2084934814618184
68,0.8195190455728364,0.18843168078117,0.7983198137237475,0.208174833884606
69,0.815796362543569,0.19214868024714943,0.7981666859525901,0.20725919077029595
70,0.817884306161149,0.19073160354373525,0.7904422512421241,0.21389747239076173
71,0.8182235190879952,0.18959999547421352,0.7847594865239583,0.2157461838080333
72,0.8174541076120821,0.1930402933972553,0.7957102914269154,0.209037463252361
73,0.7999293167614242,0.20726591059305136,0.7942509788733262,0.21254502695340377
74,0.8170876481290003,0.19282382495194964,0.7975294108574207,0.20780176038925463
75,0.8196469021653666,0.18841481758552847,0.7967060896066519,0.20823306074509254
76,0.8216101683459236,0.1865870399961194,0.7983100104790467,0.20691811236051413
77,0.8203586587338771,0.18906988680941386,0.7934583236391728,0.21024718651404747
78,0.8199489537662673,0.18899443774547392,0.7929200083017349,0.2096362618299631
79,0.8187470392694751,0.19054499557874735,0.797625349691281,0.20874787867069244
80,0.8230889559660143,0.18513099545414008,0.7880582150358421,0.21394398693854993
81,0.8222995760660727,0.18636863324248676,0.7937069030908438,0.20886808519180006
82,0.821537642803007,0.18691195793522214,0.7951222898868414,0.20812567380758432
83,0.8230363142143176,0.18555810237393797,0.7971735883217591,0.20693430992273185
84,0.8241744575280587,0.18424529126546915,0.8004455182414788,0.20533503706638628
85,0.8175889505344687,0.18945338396192754,0.8009952879869021,0.20426811277866364
86,0.8223556414680574,0.18678836133873578,0.7976801750751642,0.2100155261846689
87,0.8262379450126759,0.18314960425339857,0.7959739353794318,0.2062205706651394
88,0.8237097983800091,0.18436034761586237,0.8049471452832222,0.20170676364348486
89,0.8214229811163782,0.18806729010007914,0.8007685605150002,0.2046671716066507
90,0.82332762627347,0.18619452604969727,0.8020826486440805,0.20360243549713722
91,0.8246368062727659,0.1831851074996504,0.7989383815572813,0.20547802173174345
92,0.8112391177022341,0.19799240150497954,0.7956550751741116,0.20946122935185066
93,0.8232512453806053,0.1845973923947047,0.8011049507902219,0.20268149444690117
94,0.822710946780964,0.18599068887025408,0.8013806853156823,0.20244799095850724
95,0.8247991482030999,0.1824797160417131,0.8062744467304304,0.19816402403207925
96,0.8246577089851342,0.18261695862973779,0.7949520504245391,0.20885789509002978
97,0.8251991435451415,0.18186183143587945,0.8015238722929587,0.20399589492724493
98,0.8256928653103633,0.1849304420276753,0.7972075377519314,0.20469364867760584
99,0.8265162357716884,0.18319621537495584,0.8025880685219398,0.20277322141023782
100,0.8263277764459258,0.18345512203799869,0.8017768647808295,0.20436166112239545
101,0.8234565647192371,0.1846419376077004,0.7995719198997204,0.2036627301803002
102,0.8283025039341844,0.17954750865408517,0.7971043689892843,0.21381040490590608
103,0.8199859192070452,0.19246976988986858,0.7975900282080357,0.20742109417915344
104,0.8268300925643699,0.18304354270685066,0.7960827356347671,0.2063963906123088
105,0.8284191632444419,0.1800865108527026,0.797836938729653,0.2094096954052265
106,0.8329029547647365,0.17472739011338614,0.8058078300494415,0.19938102479164416
107,0.8330447241229918,0.17447392599096576,0.8002874960119908,0.20292394780195677
108,0.8334892871021067,0.17535640516327422,0.8036080392507406,0.19998315205940834
109,0.8344837798944955,0.17337291391150464,0.8036922938548602,0.20047290737812334
110,0.8351625936123931,0.1728963577052922,0.804272781770963,0.1996108591556549
111,0.8341501062934839,0.1737136933410052,0.8079760057421831,0.19760769261763647
